Id;LotArea;Neighborhood;OverallQual;YearBuilt;TotalBsmtSF;FullBath;KitchenQual;SalePrice
1;8450;CollgCr;7;2003;856;2;Gd;208500.165
2;9600;Veenker;6;1976;1262;2;TA;181500.18
3;11250;CollgCr;7;2001;920;2;Gd;223500.21
4;9550;Crawfor;7;1915;756;1;Gd;140000.24
5;14260;NoRidge;8;2000;1145;2;Gd;250000.35
6;14115;Mitchel;5;1993;796;1;TA;143000.55
7;10084;Somerst;8;2004;1686;2;Gd;307000.75
8;10382;NWAmes;7;1973;1107;2;TA;200000.18
9;6120;OldTown;7;1931;952;2;TA;129900.95
10;7420;BrkSide;5;1939;991;1;TA;118000.25
11;11200;Sawyer;5;1965;1040;1;TA;129500.35
12;11924;NridgHt;9;2005;1175;3;Ex;345000.45
13;12968;Sawyer;5;1962;912;1;TA;144000.57
14;10652;CollgCr;7;2006;1494;2;Gd;279500.66
15;10920;NAmes;6;1960;1253;1;TA;157000.21
16;6120;BrkSide;7;1929;832;1;TA;132000.77
17;11241;NAmes;6;1970;1004;1;TA;149000.86
18;10791;Sawyer;4;1967;0;2;TA;90000.165
19;13695;SawyerW;5;2004;1114;1;Gd;159000.18
20;7560;NAmes;5;1958;1029;1;TA;139000.21
21;14215;NridgHt;8;2005;1158;3;Gd;325300.24
22;7449;IDOTRR;7;1930;637;1;Gd;139400.35
23;9742;CollgCr;8;2002;1777;2;Gd;230000.55
24;4224;MeadowV;5;1976;1040;1;TA;129900.75
25;8246;Sawyer;5;1968;1060;1;Gd;154000.18
26;14230;NridgHt;8;2007;1566;2;Gd;256300.95
27;7200;NAmes;5;1951;900;1;Gd;134800.25
28;11478;NridgHt;8;2007;1704;2;Gd;306000.35
29;16321;NAmes;5;1957;1484;1;TA;207500.45
30;6324;BrkSide;4;1927;520;1;Fa;68500.57
31;8500;IDOTRR;4;1920;649;1;TA;40000.66
32;8544;Sawyer;5;1966;1228;1;Gd;149350.21
33;11049;CollgCr;8;2007;1234;2;Gd;179900.77
34;10552;NAmes;5;1959;1398;1;Gd;165500.86
35;7313;NridgHt;9;2005;1561;2;Ex;277500.165
36;13418;NridgHt;8;2004;1117;3;Gd;309000.18
37;10859;CollgCr;5;1994;1097;1;TA;145000.21
38;8532;NAmes;5;1954;1297;1;TA;153000.24
39;7922;NAmes;5;1953;1057;1;Gd;109000.35
40;6040;Edwards;4;1955;0;2;Fa;82000.55
41;8658;NAmes;6;1965;1088;2;TA;160000.75
42;16905;Timber;5;1959;1350;1;TA;170000.18
43;9180;SawyerW;5;1983;840;1;Gd;144000.95
44;9200;CollgCr;5;1975;938;1;TA;130250.25
45;7945;NAmes;5;1959;1150;1;TA;141000.35
46;7658;NridgHt;9;2005;1752;2;Ex;319900.45
47;12822;Mitchel;7;2003;1434;1;Gd;239686.57
48;11096;Somerst;8;2006;1656;2;Gd;249700.66
49;4456;OldTown;4;1920;736;2;TA;113000.21
50;7742;Sawyer;5;1966;955;1;TA;127000.77
51;13869;Gilbert;6;1997;794;2;TA;177000.86
52;6240;BrkSide;6;1934;816;1;TA;114500.165
53;8472;IDOTRR;5;1963;816;1;TA;110000.18
54;50271;Veenker;9;1981;1842;0;Gd;385000.21
55;7134;NAmes;5;1955;384;1;TA;130000.24
56;10175;NAmes;6;1964;1425;2;TA;180500.35
57;2645;Somerst;8;1999;970;2;Gd;172500.55
58;11645;CollgCr;7;2004;860;2;Gd;196500.75
59;13682;StoneBr;10;2006;1410;3;Gd;438780.18
60;7200;CollgCr;5;1972;780;1;TA;124900.95
61;13072;SawyerW;6;2004;1158;1;Gd;158000.25
62;7200;IDOTRR;5;1920;530;1;Fa;101000.35
63;6442;NridgHt;8;2006;1370;2;Gd;202500.45
64;10300;OldTown;7;1921;576;2;TA;140000.57
65;9375;CollgCr;7;1997;1057;2;Gd;219500.66
66;9591;NridgHt;8;2004;1143;2;Gd;317000.21
67;19900;NAmes;7;1970;1947;2;TA;180000.77
68;10665;CollgCr;7;2003;1453;2;Gd;226000.86
69;4608;OldTown;4;1945;747;1;TA;80000.165
70;15593;ClearCr;7;1953;1304;2;TA;225000.18
71;13651;NAmes;7;1973;2223;2;TA;244000.21
72;7599;Mitchel;4;1982;845;1;TA;129500.24
73;10141;Gilbert;7;1998;832;2;TA;185000.35
74;10200;NAmes;5;1954;1086;1;TA;144900.55
75;5790;OldTown;3;1915;840;2;TA;107400.75
76;1596;MeadowV;4;1973;462;1;TA;91000.18
77;8475;NAmes;4;1956;952;1;TA;135750.95
78;8635;BrkSide;5;1948;672;1;TA;127000.25
79;10778;Sawyer;4;1968;1768;2;TA;136500.35
80;10440;OldTown;5;1910;440;1;TA;110000.45
81;13000;NAmes;6;1968;896;2;Gd;193500.57
82;4500;Mitchel;6;1998;1237;2;TA;153500.66
83;10206;Somerst;8;2007;1563;2;Gd;245000.21
84;8892;NAmes;5;1960;1065;1;TA;126500.77
85;8530;Gilbert;7;1995;384;2;TA;168500.86
86;16059;NoRidge;8;1991;1288;2;Gd;260000.165
87;11911;Gilbert;6;2005;684;2;Gd;174000.18
88;3951;Somerst;6;2009;612;2;Gd;164500.21
89;8470;IDOTRR;3;1915;1013;1;Fa;85000.24
90;8070;CollgCr;4;1994;990;1;TA;123600.35
91;7200;NAmes;4;1950;0;1;TA;109900.55
92;8500;NAmes;5;1961;1235;1;TA;98600.75
93;13360;Crawfor;5;1921;876;1;TA;163500.18
94;7200;OldTown;6;1910;1214;2;TA;133900.95
95;9337;CollgCr;6;1997;824;2;Gd;204750.25
96;9765;Gilbert;6;1993;680;2;TA;185000.35
97;10264;CollgCr;7;1999;1588;2;Gd;214000.45
